DEBUG 2025-03-31 14:47:56,695 autoreload File D:\website\bakery_order_system\venv\Lib\site-packages\django\db\models\aggregates.py first seen with mtime 1740739842.513391
DEBUG 2025-03-31 14:47:56,695 autoreload File C:\Users\tanka\AppData\Local\Programs\Python\Python313\Lib\zoneinfo\_tzpath.py first seen with mtime 1728289608.0
DEBUG 2025-03-31 14:47:56,695 autoreload File C:\Users\tanka\AppData\Local\Programs\Python\Python313\Lib\operator.py first seen with mtime 1728289608.0
DEBUG 2025-03-31 14:47:56,695 autoreload File D:\website\bakery_order_system\venv\Lib\site-packages\sqlparse\engine\statement_splitter.py first seen with mtime 1740739840.8425624
DEBUG 2025-03-31 14:47:56,695 autoreload File D:\website\bakery_order_system\venv\Lib\site-packages\debug_toolbar\panels\sql\views.py first seen with mtime 1743409870.2167814
DEBUG 2025-03-31 14:47:56,695 autoreload File D:\website\bakery_order_system\venv\Lib\site-packages\charset_normalizer\legacy.py first seen with mtime 1740743817.4925172
DEBUG 2025-03-31 14:47:56,695 autoreload File C:\Users\tanka\AppData\Local\Programs\Python\Python313\DLLs\_decimal.pyd first seen with mtime 1728289646.0
DEBUG 2025-03-31 14:47:56,695 autoreload File D:\website\bakery_order_system\venv\Lib\site-packages\django\utils\tree.py first seen with mtime 1740739842.5765574
DEBUG 2025-03-31 14:47:56,695 autoreload File D:\website\bakery_order_system\venv\Lib\site-packages\django\db\backends\utils.py first seen with mtime 1740739842.4921308
DEBUG 2025-03-31 14:47:56,695 autoreload File D:\website\bakery_order_system\venv\Lib\site-packages\charset_normalizer\constant.py first seen with mtime 1740743817.4925172
DEBUG 2025-03-31 14:47:56,695 autoreload File C:\Users\tanka\AppData\Local\Programs\Python\Python313\Lib\asyncio\protocols.py first seen with mtime 1728289608.0
DEBUG 2025-03-31 14:47:56,695 autoreload File C:\Users\tanka\AppData\Local\Programs\Python\Python313\Lib\colorsys.py first seen with mtime 1728289608.0
DEBUG 2025-03-31 14:47:56,695 autoreload File D:\website\bakery_order_system\venv\Lib\site-packages\django\template\loader.py first seen with mtime 1740739842.5562701
DEBUG 2025-03-31 14:47:56,696 autoreload File C:\Users\tanka\AppData\Local\Programs\Python\Python313\Lib\base64.py first seen with mtime 1728289608.0
DEBUG 2025-03-31 14:47:56,696 autoreload File C:\Users\tanka\AppData\Local\Programs\Python\Python313\Lib\dataclasses.py first seen with mtime 1728289608.0
DEBUG 2025-03-31 14:47:56,696 autoreload File D:\website\bakery_order_system\venv\Lib\site-packages\django\contrib\admin\templatetags\log.py first seen with mtime 1740739841.2931857
DEBUG 2025-03-31 14:47:56,696 autoreload File C:\Users\tanka\AppData\Local\Programs\Python\Python313\Lib\importlib\abc.py first seen with mtime 1728289608.0
DEBUG 2025-03-31 14:47:56,696 autoreload File C:\Users\tanka\AppData\Local\Programs\Python\Python313\Lib\datetime.py first seen with mtime 1728289608.0
DEBUG 2025-03-31 14:47:56,696 autoreload File D:\website\bakery_order_system\venv\Lib\site-packages\debug_toolbar\utils.py first seen with mtime 1743409870.1776907
DEBUG 2025-03-31 14:47:56,696 autoreload File C:\Users\tanka\AppData\Local\Programs\Python\Python313\Lib\multiprocessing\process.py first seen with mtime 1728289608.0
DEBUG 2025-03-31 14:47:56,696 autoreload File D:\website\bakery_order_system\venv\Lib\site-packages\sqlparse\filters\aligned_indent.py first seen with mtime 1740739840.8425624
DEBUG 2025-03-31 14:47:56,696 autoreload File C:\Users\tanka\AppData\Local\Programs\Python\Python313\Lib\email\utils.py first seen with mtime 1728289608.0
DEBUG 2025-03-31 14:47:56,696 autoreload File D:\website\bakery_order_system\venv\Lib\site-packages\django\templatetags\l10n.py first seen with mtime 1740739842.5614977
DEBUG 2025-03-31 14:47:56,696 autoreload File C:\Users\tanka\AppData\Local\Programs\Python\Python313\DLLs\_ssl.pyd first seen with mtime 1728289646.0
DEBUG 2025-03-31 14:47:56,697 autoreload File D:\website\bakery_order_system\venv\Lib\site-packages\django\contrib\messages\constants.py first seen with mtime 1740739842.1852634
DEBUG 2025-03-31 14:47:56,697 autoreload File D:\website\bakery_order_system\venv\Lib\site-packages\django\db\models\functions\comparison.py first seen with mtime 1740739842.5215895
DEBUG 2025-03-31 14:47:56,697 autoreload File C:\Users\tanka\AppData\Local\Programs\Python\Python313\DLLs\_hashlib.pyd first seen with mtime 1728289646.0
DEBUG 2025-03-31 14:47:56,697 autoreload File D:\website\bakery_order_system\venv\Lib\site-packages\debug_toolbar\panels\templates\panel.py first seen with mtime 1743409870.2181113
DEBUG 2025-03-31 14:47:56,697 autoreload File D:\website\bakery_order_system\venv\Lib\site-packages\django\utils\cache.py first seen with mtime 1740739842.568578
DEBUG 2025-03-31 14:47:56,697 autoreload File C:\Users\tanka\AppData\Local\Programs\Python\Python313\Lib\importlib\metadata\_meta.py first seen with mtime 1728289608.0
DEBUG 2025-03-31 14:47:56,697 autoreload File C:\Users\tanka\AppData\Local\Programs\Python\Python313\Lib\unittest\result.py first seen with mtime 1728289608.0
DEBUG 2025-03-31 14:47:56,697 autoreload File D:\website\bakery_order_system\venv\Lib\site-packages\django\utils\ipv6.py first seen with mtime 1740739842.5735652
DEBUG 2025-03-31 14:47:56,697 autoreload File C:\Users\tanka\AppData\Local\Programs\Python\Python313\Lib\mimetypes.py first seen with mtime 1728289608.0
DEBUG 2025-03-31 14:47:56,697 autoreload File C:\Users\tanka\AppData\Local\Programs\Python\Python313\Lib\pkgutil.py first seen with mtime 1728289608.0
DEBUG 2025-03-31 14:47:56,697 autoreload File D:\website\bakery_order_system\venv\Lib\site-packages\django\db\models\options.py first seen with mtime 1740739842.5163875
DEBUG 2025-03-31 14:47:56,697 autoreload File C:\Users\tanka\AppData\Local\Programs\Python\Python313\Lib\unittest\signals.py first seen with mtime 1728289608.0
DEBUG 2025-03-31 14:47:56,697 autoreload File C:\Users\tanka\AppData\Local\Programs\Python\Python313\DLLs\_wmi.pyd first seen with mtime 1728289646.0
DEBUG 2025-03-31 14:47:56,698 autoreload File D:\website\bakery_order_system\venv\Lib\site-packages\django\contrib\auth\forms.py first seen with mtime 1740739841.3819628
DEBUG 2025-03-31 14:47:56,698 autoreload File D:\website\bakery_order_system\venv\Lib\site-packages\django\utils\duration.py first seen with mtime 1740739842.5715706
DEBUG 2025-03-31 14:47:56,698 autoreload File C:\Users\tanka\AppData\Local\Programs\Python\Python313\Lib\json\decoder.py first seen with mtime 1728289608.0
DEBUG 2025-03-31 14:47:56,698 autoreload File D:\website\bakery_order_system\venv\Lib\site-packages\django\db\backends\base\creation.py first seen with mtime 1740739842.493128
DEBUG 2025-03-31 14:47:56,698 autoreload File C:\Users\tanka\AppData\Local\Programs\Python\Python313\Lib\re\_constants.py first seen with mtime 1728289608.0
DEBUG 2025-03-31 14:47:56,698 autoreload File C:\Users\tanka\AppData\Local\Programs\Python\Python313\Lib\wsgiref\handlers.py first seen with mtime 1728289608.0
DEBUG 2025-03-31 14:47:56,698 autoreload File C:\Users\tanka\AppData\Local\Programs\Python\Python313\Lib\json\scanner.py first seen with mtime 1728289608.0
DEBUG 2025-03-31 14:47:56,698 autoreload File D:\website\bakery_order_system\venv\Lib\site-packages\django\db\migrations\__init__.py first seen with mtime 1740739842.507178
DEBUG 2025-03-31 14:47:56,698 autoreload File D:\website\bakery_order_system\venv\Lib\site-packages\requests\hooks.py first seen with mtime 1740743817.5480795
